Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate,Item Description,Xero Account,
Procab,Procab - MWA,PD-02-02-01,Pre-Work Order release survey ,Per Work Order, $	448.50 ,Pre-Work Order release survey ,45151,
Procab,Procab - MWA,PD-03-01-02,Telecommunications design services,Per Hour, $	65.55 ,Telecommunications design services,45151,
Procab,Procab - MWA,PD-03-01-03,Design Surveying services,Per Hour, $	65.55 ,Design Surveying services,45151,
Procab,Procab - MWA,PD-03-01-04,Design Professional assessment services,Per Hour, $	65.55 ,Design Professional assessment services,45151,
Procab,Procab - MWA,PD-03-01-05,Provision for planning services,Per Hour, $	65.55 ,Provision for planning services,45151,
Procab,Procab - MWA,PD-03-01-06,LASE requirements,Per Hour, $	47.61 ,LASE requirements,45151,
Procab,Procab - MWA,PD-05-01-01,Pit and Pipe inspection for certification of Third Party Works,Per Pit, $	19.84 ,Pit and Pipe inspection for certification of Third Party Works,45151,
Procab,Procab - MWA,CW-01-01-01,Supply and install underground pipe with an internal diameter of more than 25mm and equal to or less than 50mm by any means in other than Rock,Per linear metre, $	55.20 ,Supply and install underground pipe with an internal diameter of more than 25mm and equal to or less than 50mm by any means in other than Rock,45151,
Procab,Procab - MWA,CW-01-01-02,Supply and install underground pipe with an internal diameter of greater than 50mm by any means in other than Rock,Per linear metre, $	62.10 ,Supply and install underground pipe with an internal diameter of greater than 50mm by any means in other than Rock,45151,
Procab,Procab - MWA,CW-01-01-03,Extra over for supply and install an additional underground pipe in an existing trench with an internal diameter of greater than 25mm,Per linear metre, $	12.08 ,Extra over for supply and install an additional underground pipe in an existing trench with an internal diameter of greater than 25mm,45151,
Procab,Procab - MWA,CW-01-01-04,Extra over for supply and install an additional underground pipe by boring technique with an internal diameter of greater than 25mm,Per linear metre, $	38.64 ,Extra over for supply and install an additional underground pipe by boring technique with an internal diameter of greater than 25mm,45151,
Procab,Procab - MWA,CW-01-01-05,Supply and install riser on pole or building  ,Per riser, $	117.30 ,Supply and install riser on pole or building  ,45151,
Procab,Procab - MWA,CW-01-02-01,Extra over rate for the supply and install of pipe in Rock by any means ,Per linear metre, $	179.40 ,Extra over rate for the supply and install of pipe in Rock by any means ,45151,
Procab,Procab - MWA,CW-02-01-01,Supply and installation of small pits (P2) at any locations in other than Rock,Per pit, $	234.60 ,Supply and installation of small pits (P2) at any locations in other than Rock,45151,
Procab,Procab - MWA,CW-02-01-02,Supply and installation of medium pits (P4 and P5) at any locations in other than Rock,Per pit, $	510.60 ,Supply and installation of medium pits (P4 and P5) at any locations in other than Rock,45151,
Procab,Procab - MWA,CW-02-01-03,Supply and installation of large pits (P6 and P8) at any locations in other than Rock,Per pit," $	1,035.00 ",Supply and installation of large pits (P6 and P8) at any locations in other than Rock,45151,
Procab,Procab - MWA,CW-02-01-04,Supply and installation of extra-large (P9) pits at any locations in other than Rock,Per pit," $	1,518.00 ",Supply and installation of extra-large (P9) pits at any locations in other than Rock,45151,
Procab,Procab - MWA,CW-02-01-05,Supply and install pit riser,Each pit riser, $	172.50 ,Supply and install pit riser,45151,
Procab,Procab - MWA,CW-02-01-06,Supply and install pit lids,Each pit lids, $	46.23 ,Supply and install pit lids,45151,
