Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate
Downer,Downer - Fusion,PD-01-01-01,Provision for planning for a FTTP design,Quote,Quote
Downer,Downer - Fusion,PD-01-02-01,Provision for planning for a FTTN design,Quote,Quote
Downer,Downer - Fusion,PD-01-03-01,Provision for planning for a FTTB design,Quote,Quote
Downer,Downer - Fusion,PD-01-05-01,Provision for planning for a FTTC design,Quote,Quote
Downer,Downer - Fusion,PD-05-01-01,Pit and Pipe inspection for certification of Third Party Works,Per Pit, $	24.51 
Downer,Downer - Fusion,CW-01-01-01T,"Supply and install underground pipe with an internal diameter of more than 25mm and equal to or less than
50mm by TRENCHING in other than Rock",Per linear metre, $	32.44 
Downer,Downer - Fusion,CW-01-01-01B,Supply and install underground pipe with an internal diameter of more than 25mm and equal to or less than 50mm by BORING in other than Rock,Per linear metre, $	55.81 
Downer,Downer - Fusion,CW-01-01-02T,"Supply and install underground pipe with an internal diameter of greater than 50mm byTRENCHING in other than
Rock",Per linear metre, $	36.65 
Downer,Downer - Fusion,CW-01-01-02B,Supply and install underground pipe with an internal diameter of greater than 50mm by BORING in other than Rock,Per linear metre, $	69.50 
Downer,Downer - Fusion,CW-01-01-03,"Extra over for supply and install an additional underground
pipe in an existing trench with an internal diameter of greater than 25mm",Per linear metre, $	17.43 
Downer,Downer - Fusion,CW-01-01-05,Supply and install riser on pole or building,Per riser, $	167.27 
Downer,Downer - Fusion,CW-01-02-01T,Extra over rate for the supply and install of pipe in Rock by Trenching,Per linear metre, $	73.18 
Downer,Downer - Fusion,CW-01-02-01B,"Extra over rate for the supply and install of pipe in Rock by
Boring",Per linear metre, $	175.75 
Downer,Downer - Fusion,CW-02-01-01N,Supply and installation of small pits (P2) at new locations in other than Rock,Per pit, $	226.86 
Downer,Downer - Fusion,CW-02-01-01E,"Supply and installation of small pits (P2) at existing locations
in other than Rock",Per pit, $	279.30 
Downer,Downer - Fusion,CW-02-01-02N,Supply and installation of medium pits (P4 and P5) at new locations in other than Rock,Per pit, $	390.10 
Downer,Downer - Fusion,CW-02-01-02E,Supply and installation of medium pits (P4 and P5) at existing locations in other than Rock,Per pit, $	535.56 
Downer,Downer - Fusion,CW-02-01-03N-P6,"Supply and installation of large pits (P6) at new locations in
other than Rock",Per pit, $	819.59 
Downer,Downer - Fusion,CW-02-01-03E-P6,Supply and installation of large pits (P6) at existing locations in other than Rock,Per pit," $	1,009.59 "
Downer,Downer - Fusion,CW-02-01-03N-P8,Supply and installation of large pits (P8) at new locations in other than Rock,Per pit, $	904.18 
Downer,Downer - Fusion,CW-02-01-03E-P8,"Supply and installation of large pits (P8) at existing locations
in other than Rock",Per pit," $	1,104.67 "
Downer,Downer - Fusion,CW-02-01-04N,Supply and installation of extra-large (P9) pits at new locations in other than Rock,Per pit," $	1,673.03 "
Downer,Downer - Fusion,CW-02-01-04E,"Supply and installation of extra-large (P9) pits at existing
locations in other than Rock",Per pit," $	2,029.23 "
Downer,Downer - Fusion,CW-02-01-05,Supply and install pit riser,Each pit riser, $	265.26 
Downer,Downer - Fusion,CW-02-01-06,Supply and install pit lids,Each pit lids, $	48.10 
Downer,Downer - Fusion,CW-02-01-07,"Extra over flagfall for composite pit lid replacements in
trafficable locations",Per Work Order, $	67.41 
Downer,Downer - Fusion,CW-02-02-01,Extra over rate for the supply and installation of a pit in Rock,Per cubic metre, $	232.88 
Downer,Downer - Fusion,CW-02-03-01,Removal and disposal of small (P2) ACM Pit,Each ACM Pit, $	536.03 
Downer,Downer - Fusion,CW-02-03-02,Removal and disposal of medium (P4 or P5) ACM Pit,Each ACM Pit, $	570.00 
Downer,Downer - Fusion,CW-02-03-03,Removal and disposal of large (P6 or P8) ACM Pit,Each ACM Pit, $	712.50 
Downer,Downer - Fusion,CW-02-03-04,Removal and disposal of extra large (P9) ACM Pit,Each ACM Pit, $	902.50 
Downer,Downer - Fusion,CW-02-03-05,Drilling into an asbestos wall or pit (including disposal),Each, $	129.13 
Downer,Downer - Fusion,CW-02-03-06,Breakout existing asbestos pipe (including disposal),Per linear metre, $	200.58 
Downer,Downer - Fusion,CW-03-01-01,Core bore - all depths,Each core bore, $	237.50 
Downer,Downer - Fusion,CW-04-01-01,"Installation only of single cable by direct buried techniques
by any means",Per linear metre, $	13.70 
Downer,Downer - Fusion,CW-04-02-01,Extra over for the installation of a single cable by direct buried techniques in Rock,Per linear metre, $	50.21 
Downer,Downer - Fusion,CW-04-03-01,Supply and install marker posts for buried underground cable,Per marker post, $	94.30 
Downer,Downer - Fusion,CW-05-01-01,Identify and repair a damaged and blocked duct in any surface,Per blockage repaired, $	294.45 
