Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate
Downer,Downer - ODM - N2P Trial,CI-01-01-01,Pipe Proving in existing duct,Per linear metre, $	2.20 
Downer,Downer - ODM - N2P Trial,CI-02-01-12O,Installation of 12 fibre  cable sheath in occupied underground duct all- inclusive by any means,Per linear metre, $	1.95 
Downer,Downer - ODM - N2P Trial,CI-02-01-12V,Installation of 12 fibre  cable sheath in vacant underground duct all-inclusive by any means,Per linear metre, $	1.75 
Downer,Downer - ODM - N2P Trial,CI-02-01-13O,Installation of single fibre cable sheath in occupied underground duct all- inclusive  by any means,Per linear metre, $	2.00 
Downer,Downer - ODM - N2P Trial,CI-02-01-13V,Installation of single fibre cable sheath in vacant underground duct all- inclusive  by any means,Per linear metre, $	1.55 
Downer,Downer - ODM - N2P Trial,CW-01-01-20B,Supply and install underground pipe with an internal diameter of more than 25mm and equal to or less than 50mm all-inclusive by any means in other than Rock,Per linear metre, $	55.81 
Downer,Downer - ODM - N2P Trial,CW-01-02-01B01,Supply and install 1 x P50 (63mm OD) pipe using boring techniques in Rock less than 250m,Per linear metre, $	198.50 
Downer,Downer - ODM - N2P Trial,CW-02-01-02N,Supply and installation of medium pits (P4 and P5) at any new in other than Rock,Per Pit, $	390.10 
Downer,Downer - ODM - N2P Trial,CW-02-01-05-P5,Supply and install pit riser on P5 Pit,Per riser, $	194.96 
Downer,Downer - ODM - N2P Trial,CW-02-01-22E,Supply and installation of medium pits (P4 and P5) at existing in other than Rock,Per Pit, $	535.56 
Downer,Downer - ODM - N2P Trial,CW-02-04-01,Remove and dispose of a single lid plastic pit,Per pit, $	175.00 
Downer,Downer - ODM - N2P Trial,CW-03-01-01,Core bore,Each core bore, $	237.50 
Downer,Downer - ODM - N2P Trial,CW-05-01-02,Clear pipe blockage using high pressure water,Per blockage cleared, $	175.00 
Downer,Downer - ODM - N2P Trial,CW-05-01-04,Identify and repair a damaged and blocked duct in any surface,Per blockage repaired, $	295.00 
Downer,Downer - ODM - N2P Trial,CW-05-01-05,Extra over for the repair of a secondary damaged or blocked duct all-inclusive in any surface,Per blockage repaired, $	155.00 
Downer,Downer - ODM - N2P Trial,CW-06-01-01,"Breakout surface material, concrete (reinforced or unreinforced) up to 150mm thick",Per linear metre, $	72.76 
Downer,Downer - ODM - N2P Trial,CW-06-02-01,Reinstatement of surface materials in concrete (reinforced or unreinforced) up to 150mm thick,Per linear metre, $	135.56 
Downer,Downer - ODM - N2P Trial,FB-01-01-03,Installation and preparation of a fibre joint enclosure up to and including 12 fibres,Per linear metre, $	171.00 
Downer,Downer - ODM - N2P Trial,FB-01-02-05,Lay up of cable sheaths,Per cable sheath, $	31.50 
Downer,Downer - ODM - N2P Trial,FB-01-02-08,Prepare a loose tube 12 fibre cable to be connected to fibre joint enclosures,Per cable sheath, $	63.75 
Downer,Downer - ODM - N2P Trial,FB-01-03-01,Re-entry into a fibre joint enclosure,Per fibre joint enclosure, $	84.70 
Downer,Downer - ODM - N2P Trial,FB-02-01-01,"Installation of multiport or splitter multiport in underground pit or
manhole",Per multiport, $	21.25 
Downer,Downer - ODM - N2P Trial,FB-03-01-01,Splicing of optic fibre ribbons,Per Ribbon Splice, $	16.10 
Downer,Downer - ODM - N2P Trial,FB-03-01-02,Splicing of single fibre,Per Fibre Splice, $	13.89 
Downer,Downer - ODM - N2P Trial,FB-03-01-03,Splicing of loose tube fibre,Per Fibre Splice, $	12.14 
Downer,Downer - ODM - N2P Trial,FB-03-01-04,De ribbonise 12 fibre ribbon,Per ribbon, $	10.93 
Downer,Downer - ODM - N2P Trial,FB-04-02-01,Uni-directional OTDR Testing to the first fibre tested,Per fibre, $	12.92 
Downer,Downer - ODM - N2P Trial,FB-04-02-08,PON Power Meter Test,Per fibre, $	16.12 
Downer,Downer - ODM - N2P Trial,PS-01-01-10,Construction works in building not contained within the Activity Scope,Amount of Agreed Fee, $	1.00 
Downer,Downer - ODM - N2P Trial,TB-01-01-03,Labourer - Pit Clean Out,Per Pit, $	38.50 
