Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate
Lend Lease,Lend Lease - MWA,CB-01-01-01/01-01,Install FDH cabinet on any surface other than rock including plinth,Per FDH Cabinet," $	1,494.50 "
Lend Lease,Lend Lease - MWA,CB-02-01-01/01-01,Install external small Node cabinet on any surface other than rock including plinth & earthing.,Per external Node Cabinet," $	2,200.00 "
Lend Lease,Lend Lease - MWA,CB-02-01-01/02-01,"Equipment & fibre installation, testing and commissioning of small port Node Cabinet.",Per external Node Cabinet, $	600.00 
Lend Lease,Lend Lease - MWA,CB-02-01-02/01-01,Install external medium Node cabinet on any surface other than rock including plinth & earthing.,Per external Node Cabinet," $	3,100.00 "
Lend Lease,Lend Lease - MWA,CB-02-01-02/02-01,"Equipment & fibre installation, testing and commissioning of medium port Node Cabinet.",Per external Node Cabinet, $	950.00 
Lend Lease,Lend Lease - MWA,CB-02-01-03/01-01,Install external large Node cabinet on any surface other than rock including plinth & earthing.,Per external Node Cabinet," $	3,150.00 "
Lend Lease,Lend Lease - MWA,CB-02-01-03/02-01,"Equipment & fibre installation, testing and commissioning of large port Node Cabinet.",Per external Node Cabinet," $	1,010.50 "
Lend Lease,Lend Lease - MWA,CB-02-02-01/01-01,Installation of service jumpering in a FTTN/FTTB Node Cabinet,Per 48 Port Line Card, $	210.00 
Lend Lease,Lend Lease - MWA,CB-02-02-02/01-01,Cable layup within CJL for external small port CSD node,Per CJL, $	105.00 
Lend Lease,Lend Lease - MWA,CB-03-02-01/01-01,Supply and install new service earth bar,Per service earth bar, $	105.00 
Lend Lease,Lend Lease - MWA,CB-03-02-02/01-01,Supply and install new service earth stake,Per service earth stake, $	97.00 
Lend Lease,Lend Lease - MWA,CB-03-02-03/01-01,Install a 10 pair MDF terminal block,Per 10 pair MDF terminal block, $	35.00 
Lend Lease,Lend Lease - MWA,CB-03-02-04/01-01,Install a 100 pair MDF terminal frame,Per 100 pair MDF terminal frame, $	70.00 
Lend Lease,Lend Lease - MWA,CF-02-02-01/01-01,"Mobilisation Fee for Planning and Design Works 
