Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate
Broadspectrum,Broadspectrum - DCSA,ON-CB-01-01-01,Installation of an external FDH Cabinet ,Per FDH Cabinet, $	603.83 
Broadspectrum,Broadspectrum - DCSA,ON-CB-02-01-01,Installation only of an external small port Node Cabinet,Per external Node Cabinet," $	2,500.00 "
Broadspectrum,Broadspectrum - DCSA,ON-CB-02-01-02,Installation only of an external medium port Node Cabinet,Per external Node Cabinet," $	5,150.00 "
Broadspectrum,Broadspectrum - DCSA,ON-CB-02-01-03,Installation only of an external large port Node cabinet,Per external Node Cabinet," $	5,365.00 "
Broadspectrum,Broadspectrum - DCSA,ON-CB-02-02-01,Installation of service jumpering in a FTTN/FTTB Node Cabinet,Per 48 Port Line Card, $	165.00 
Broadspectrum,Broadspectrum - DCSA,ON-CB-02-02-02,Cable layup within CJL for external small port CSD node,Per CJL, $	136.53 
Broadspectrum,Broadspectrum - DCSA,ON-CB-03-01-01,Installation of an internal small FTTB Cabinet,Per FTTB Cabinet, $	964.00 
Broadspectrum,Broadspectrum - DCSA,ON-CB-03-01-02,Installation of an internal medium FTTB Cabinet,Per FTTB Cabinet," $	1,572.00 "
Broadspectrum,Broadspectrum - DCSA,ON-CB-03-01-03,Installation of an internal large FTTB Cabinet (greater than 192 up to 384 port),Per FTTB Cabinet," $	1,292.00 "
Broadspectrum,Broadspectrum - DCSA,ON-CB-03-02-01,Supply and install new service earth bar,Per service earth bar, $	70.40 
Broadspectrum,Broadspectrum - DCSA,ON-CB-03-02-02,Supply and install new service earth stake,Per service earth stake, $	95.00 
Broadspectrum,Broadspectrum - DCSA,ON-CB-03-02-03,Install a 10 pair MDF terminal block,Per 10 pair MDF terminal block, $	40.68 
Broadspectrum,Broadspectrum - DCSA,ON-CB-03-02-04,Install a 100 pair MDF terminal frame,Per 100 pair MDF terminal frame, $	59.36 
Broadspectrum,Broadspectrum - DCSA,ON-CB-04-01-01,Removal and disposal of a cabinet,Per Cabinet, $	541.20 
Broadspectrum,Broadspectrum - DCSA,ON-CB-04-01-02,Repair of a cabinet panel,Per Cabinet, $	143.61 
Broadspectrum,Broadspectrum - DCSA,ON-CB-04-01-03,Removal of graffiti from a cabinet,Per Cabinet, $	75.61 
Broadspectrum,Broadspectrum - DCSA,ON-CB-04-01-04,Replacement of a cabinet lock,Per Cabinet, $	52.75 
Broadspectrum,Broadspectrum - DCSA,ON-CC-01-01-01,"Installation, commissioning and integration of a Enterprise Ethernet B-NTD in a wall mounted environment",Per B-NTD, $	24.52 
Broadspectrum,Broadspectrum - DCSA,ON-CC-01-01-02,"Installation, commissioning and integration of a Enterprise Ethernet B-NTD in a rack mounted environment",Per B-NTD, $	24.52 
Broadspectrum,Broadspectrum - DCSA,ON-CC-01-01-03,"Installation, commissioning and activation of a GPON B-NTD in a wall mounted environment",Per B-NTD, $	78.08 
Broadspectrum,Broadspectrum - DCSA,ON-CC-01-01-04,"Installation, commissioning and activation of a GPON B-NTD in a rack mounted environment",Per B-NTD, $	117.73 
Broadspectrum,Broadspectrum - DCSA,ON-CC-01-01-05,Installation of battery back-up unit in conjunction with BNTD installation ,Per Battery Backup Device, $	28.40 
Broadspectrum,Broadspectrum - DCSA,ON-CC-01-01-06,Installation of a Fibre TV Receiver (TVR) co-located with an NTD,Per device , $	32.47 
Broadspectrum,Broadspectrum - DCSA,ON-CC-01-02-01,"Installation, commissioning and integration of a R-NTD in a wall mounted environment",Per device , $	85.70 
Broadspectrum,Broadspectrum - DCSA,ON-CC-01-02-02,"Installation, commissioning and integration of a R-NTD in a rack mounted environment",Per device , $	79.86 
Broadspectrum,Broadspectrum - DCSA,ON-CC-01-02-03,Internal wiring from exterior termination outlet enclosure to internal wall plate/TO,Per wall plate, $	57.81 
Broadspectrum,Broadspectrum - DCSA,ON-CC-02-01-01,Replace existing lead in termination enclosure ,Per enclosure, $	49.07 
Broadspectrum,Broadspectrum - DCSA,ON-CC-03-01-01,Remove existing aerial lead in equipment from lead-in termination enclosure to NTD ,Per NTD, $	135.95 
Broadspectrum,Broadspectrum - DCSA,ON-CC-03-01-02,Remove existing non-aerial lead in equipment from lead-in termination enclosure to NTD ,Per NTD, $	72.15 
Broadspectrum,Broadspectrum - DCSA,ON-CF-02-02-04,Mobilisation Fee for Construction Works for a Work Order located outside 100km radius of the sub contractor's base of operation.,per KM, $	1.00 
Broadspectrum,Broadspectrum - DCSA,ON-CF-03-02-01,LAFHA for Planning and Design or Construction Works,per day / per person, $	159.00 
Broadspectrum,Broadspectrum - DCSA,ON-CI-01-01-01,Pipe Proving in existing duct,Per linear metre, $	2.35 
Broadspectrum,Broadspectrum - DCSA,ON-CI-01-02-01,Pipe Proving in existing riser on a pole or in existing riser on the external face of a building,Per existing riser on a pole or existing riser on the external face of a building, $	19.00 
Broadspectrum,Broadspectrum - DCSA,ON-CI-02-01-01,Installation of a cable sheath greater than 144 fibre in underground duct by any means ,Per linear metre, $	3.00 
Broadspectrum,Broadspectrum - DCSA,ON-CI-02-01-02,Installation of a cable sheath greater than 12 fibre and up to and including 144 fibre in underground duct by any means,Per linear metre, $	2.25 
Broadspectrum,Broadspectrum - DCSA,ON-CI-02-01-03,Installation of 12 fibre fibre cable sheath in underground duct by any means,Per linear metre, $	2.10 
Broadspectrum,Broadspectrum - DCSA,ON-CI-02-01-04,Installation of single fibre cable sheath in underground duct by any means,Per linear metre, $	1.69 
Broadspectrum,Broadspectrum - DCSA,ON-CI-02-01-05,Installation of a cable sheath in existing riser on a pole or in existing riser on the external face of a building,Per cable sheath , $	23.97 
Broadspectrum,Broadspectrum - DCSA,ON-CI-02-02-01,Installation of copper cable of up to including 100 pair in underground duct,Per linear metre, $	2.50 
Broadspectrum,Broadspectrum - DCSA,ON-CI-02-02-02,Installation of copper cable of greater than 100 pair in underground duct,Per linear metre, $	3.65 
Broadspectrum,Broadspectrum - DCSA,ON-CI-02-03-01,Installation of hardline in underground duct by any means,Per linear metre, $	3.95 
Broadspectrum,Broadspectrum - DCSA,ON-CI-02-03-02,Installation of hardline in an existing riser on a pole or in an existing riser on the external face of a building,Per linear metre, $	5.10 
Broadspectrum,Broadspectrum - DCSA,ON-CI-03-01-01,Installation of cable sheath and all Broadspectrum infrastructure on timber poles in the communications corridor,Per Span, $	300.00 
Broadspectrum,Broadspectrum - DCSA,ON-CI-03-01-02,Installation of cable sheath and all Broadspectrum infrastructure on stobie poles in the communications corridor,Per Span, $	300.00 
Broadspectrum,Broadspectrum - DCSA,ON-CI-03-01-03,Installation of cable sheath and all Broadspectrum infrastructure on concrete or steel poles in the communications corridor,Per Span, $	300.00 
Broadspectrum,Broadspectrum - DCSA,ON-CI-03-01-04,Installation of cable sheath and all Broadspectrum infrastructure on timber poles in the power corridor,Per Span, $	300.00 
Broadspectrum,Broadspectrum - DCSA,ON-CI-03-01-05,Installation of cable sheath and all Broadspectrum infrastructure on stobie poles in the power corridor,Per Span, $	300.00 
Broadspectrum,Broadspectrum - DCSA,ON-CI-03-01-06,Installation of cable sheath and all Broadspectrum infrastructure on concrete or steel poles in the power corridor,Per Span, $	300.00 
Broadspectrum,Broadspectrum - DCSA,ON-CI-03-02-01,Installation of copper cable sheath and all Broadspectrum infrastructure on timber poles in the communications corridor up to 100 pair,Per Span, $	300.00 
Broadspectrum,Broadspectrum - DCSA,ON-CI-03-02-02,Installation of copper cable sheath and all Broadspectrum infrastructure on stobie poles in the communications corridor up to 100 pair,Per Span, $	300.00 
Broadspectrum,Broadspectrum - DCSA,ON-CI-03-02-03,Installation of copper cable sheath and all Broadspectrum infrastructure on concrete or steel poles in the communications corridor up to 100 pair,Per Span, $	300.00 
Broadspectrum,Broadspectrum - DCSA,ON-CI-03-02-04,Installation of copper cable sheath and all Broadspectrum infrastructure on timber poles in the power corridor up to 100 pair,Per Span, $	300.00 
Broadspectrum,Broadspectrum - DCSA,ON-CI-03-02-05,Installation of copper cable sheath and all Broadspectrum infrastructure on stobie poles in the power corridor up to 100 pair,Per Span, $	300.00 
Broadspectrum,Broadspectrum - DCSA,ON-CI-03-02-06,Installation of copper cable sheath and all Broadspectrum infrastructure on concrete or steel poles in the power corridor up to 100 pair,Per Span, $	300.00 
Broadspectrum,Broadspectrum - DCSA,ON-CI-03-03-01,Installation of hardline on all pole types,Per Coaxial Cable Span , $	309.12 
Broadspectrum,Broadspectrum - DCSA,ON-CI-03-03-02,Installation of a catenary wire only on timber poles,Per Coaxial Cable Span, $	254.60 
Broadspectrum,Broadspectrum - DCSA,ON-CI-03-03-03,Installation of a catenary wire only on stobie poles,Per Coaxial Cable Span, $	308.21 
Broadspectrum,Broadspectrum - DCSA,ON-CI-03-03-04,Installation of a catenary wire only on concrete or steel poles,Per Coaxial Cable Span, $	308.21 
Broadspectrum,Broadspectrum - DCSA,ON-CI-03-03-05,Re-lashing of existing hardline to existing catenary wire,Per Coaxial Cable Span, $	231.44 
Broadspectrum,Broadspectrum - DCSA,ON-CI-04-01-01,Installation of cable sheath within a cable chamber or tunnel networks,Per linear metre, $	3.50 
Broadspectrum,Broadspectrum - DCSA,ON-CI-04-01-01-AH,Installation of cable sheath within a cable chamber or tunnel networks outside working hours,Per linear metre, $	6.20 
Broadspectrum,Broadspectrum - DCSA,ON-CI-04-01-02,Installation of cable sheath via riser shaft/cable tray ,Per linear metre, $	3.50 
Broadspectrum,Broadspectrum - DCSA,ON-CI-04-01-02-AH,Installation of cable sheath via riser shaft/cable tray outside working hours,Per linear metre, $	6.20 
Broadspectrum,Broadspectrum - DCSA,ON-CI-04-01-03,Installation of cable sheath via ceiling space/floor cavity or crawl space,Per linear metre, $	3.70 
Broadspectrum,Broadspectrum - DCSA,ON-CI-04-01-03-AH,Installation of cable sheath via ceiling space/floor cavity or crawl space outside working hours,Per linear metre, $	6.80 
