Customer,Contract,Item Code,Item Name,UoM,Rate,Item Description,Xero Account
Downer,Downer - TFO (Wideband),A11306,"Setup, fibre commissioning acceptance testing and integration optical fibre - 1st fibre",Per first fibre,$ 286.80,"Setup, fibre commissioning acceptance testing and integration optical fibre - 1st fibre",45100
Downer,Downer - TFO (Wideband),A12297,WT-5a Install of a Wideband Wavelength Service,per service,$ 479.14,WT-5a Install of a Wideband Wavelength Service,45100
Downer,Downer - TFO (Wideband),A8080,Fibre commissioning acceptance testing and integration optical fibre - Second & Subsequent Fibre,per subsequent fibre,$ 21.26,Fibre commissioning acceptance testing and integration optical fibre - Second & Subsequent Fibre,45100
Downer,Downer - TFO (Wideband),D13454,WD-12 Wideband site visit per customer end,Cost per customer end,$ 355.10,WD-12 Wideband site visit per customer end,45100
Downer,Downer - TFO (Wideband),R10754,WT-9i Recover Alarm Power and Distribution Panel - All types,per panel,$ 120.95,WT-9i Recover Alarm Power and Distribution Panel - All types,45100
Downer,Downer - TFO (Wideband),R11310,Remove Second and subsequent Pigtail/corded fibre/patch lead extra over to OO-6f1,Per fibre,$ 15.55,Remove Second and subsequent Pigtail/corded fibre/patch lead extra over to OO-6f1,45100
Downer,Downer - TFO (Wideband),R11312,Remove Single Pigtail/corded fibre/patch lead  at any Single locations,Per fibre,$ 44.52,Remove Single Pigtail/corded fibre/patch lead  at any Single locations,45100
Downer,Downer - TFO (Wideband),R11597,WT-9e Decommission Wideband Service including Transmission Line System Recovery,Per sub rack,$ 295.36,WT-9e Decommission Wideband Service including Transmission Line System Recovery,45100
Downer,Downer - TFO (Wideband),R11598,WT-9f Decommission Wideband Service including Transmission Line System and Customer Rack Recovery,Per subrack,$ 454.16,WT-9f Decommission Wideband Service including Transmission Line System and Customer Rack Recovery,45100
Downer,Downer - TFO (Wideband),R11848,"Cable (or Lead-in) Installation/Removal in Buildings - Recover Cable (Buildings) - Haul out/dismantle and dispose of all cable (copper/optic fibre) deemed faulty or redundant as per TOW.
E.g. ceiling, floor space and riser shafts",Metre,$ 4.12,"Cable (or Lead-in) Installation/Removal in Buildings - Recover Cable (Buildings) - Haul out/dismantle and dispose of all cable (copper/optic fibre) deemed faulty or redundant as per TOW.
E.g. ceiling, floor space and riser shafts",45100
Downer,Downer - TFO (Wideband),R12942,WT-9a Decommission a Wideband 2Mbit service via Exchange Only Recovery,Cost per service,$ 145.44,WT-9a Decommission a Wideband 2Mbit service via Exchange Only Recovery,45100
Downer,Downer - TFO (Wideband),R13460,Cable Installation /Removal - Recover Cable from External Plant Network - Recover Optical Fibre,Metre,$ 1.00,Cable Installation /Removal - Recover Cable from External Plant Network - Recover Optical Fibre,45100
Downer,Downer - TFO (Wideband),R13461,WT-9b Decommission a Wideband Fibre Based Service via Exchange Only Recovery,Cost per service,$ 160.27,WT-9b Decommission a Wideband Fibre Based Service via Exchange Only Recovery,45100
