Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate,Item Description,Xero Account,
Systems Connect,Systems Connect - Rail Works,W4996,Enter and reseal UC/UCNP/FIST  joint closure (DE),EACH, $	116.74 ,Enter and reseal UC/UCNP/FIST  joint closure (DE),45171,
Systems Connect,Systems Connect - Rail Works,W5076,Rod Rope and Prove Conduit any diameter (in conjunction with Cable Hauling) (DE),METRE, $	1.50 ,Rod Rope and Prove Conduit any diameter (in conjunction with Cable Hauling) (DE),45171,
Systems Connect,Systems Connect - Rail Works,W5094,Recover cable - Single or Multiple 2 pr up to 200 pr cable (DE),METRE, $	1.24 ,Recover cable - Single or Multiple 2 pr up to 200 pr cable (DE),45171,
Systems Connect,Systems Connect - Rail Works,W5096,Recover cable - Greater than 200 pair,METRE, $	5.63 ,Recover cable - Greater than 200 pair,45171,
Systems Connect,Systems Connect - Rail Works,WS193,Cable hauling in tunnels - Optical Fibre (DE),METRE, $	5.20 ,Cable hauling in tunnels - Optical Fibre (DE),45171,
Systems Connect,Systems Connect - Rail Works,R5197,Cable recovery from tunnel - Optical Fibre (DE),METRE, $	0.56 ,Cable recovery from tunnel - Optical Fibre (DE),45171,
Systems Connect,Systems Connect - Rail Works,W5201,Cable racking in tunnel - Optical Fibre (DE),METRE, $	5.20 ,Cable racking in tunnel - Optical Fibre (DE),45171,
Systems Connect,Systems Connect - Rail Works,W5208,Cable hauling in rail corridor - Optical Fibre (DE),METRE, $	7.51 ,Cable hauling in rail corridor - Optical Fibre (DE),45171,
Systems Connect,Systems Connect - Rail Works,W5202,Rod and Rope ceiling/underfloor space (DE),METRE, $	2.60 ,Rod and Rope ceiling/underfloor space (DE),45171,
Systems Connect,Systems Connect - Rail Works,W5203,Provide draw rope in riser shaft/cable race (DE),METRE, $	2.60 ,Provide draw rope in riser shaft/cable race (DE),45171,
Systems Connect,Systems Connect - Rail Works,W5204,Haul Smaller than/equal to 100 pair or Optical fibre in ceiling or floor space (DE),METRE, $	4.84 ,Haul Smaller than/equal to 100 pair or Optical fibre in ceiling or floor space (DE),45171,
