Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate,Item Description,Xero Account
Visionstream,Visionstream - N2P (NSW),PD-02-07-03-01,Field Scoping - Pit Inspection & LOC Validation,Per FDH Cabinet, $	6.00 ,Field Scoping - Pit Inspection & LOC Validation,45403
Visionstream,Visionstream - N2P (NSW),CW-01-01-03-01,Extra over for supply and install an additional underground pipe in an existing trench with an internal diameter of greater than 25mm in open trench provided by other including reinstatement,Per linear metre, $	10.00 ,Extra over for supply and install an additional underground pipe in an existing trench with an internal diameter of greater than 25mm in open trench provided by other including reinstatement,45403
Visionstream,Visionstream - N2P (NSW),CW-01-01-04-01,Extra over for supply and install an additional underground pipe by boring technique with an internal diameter of greater than 25mm,Per linear metre, $	38.00 ,Extra over for supply and install an additional underground pipe by boring technique with an internal diameter of greater than 25mm,45403
Visionstream,Visionstream - N2P (NSW),CW-01-01-20-01,Supply and install 1 x P50 PVC pipe in open trench in OTR (Other Than Rock),Per linear metre, $	33.00 ,Supply and install 1 x P50 PVC pipe in open trench in OTR (Other Than Rock),45403
Visionstream,Visionstream - N2P (NSW),CW-01-01-20-02,Supply and install 1 x P50 (63 OD) pipe using boring techniques in OTR (Other Than Rock) less than 250m,Per linear metre, $	48.00 ,Supply and install 1 x P50 (63 OD) pipe using boring techniques in OTR (Other Than Rock) less than 250m,45403
Visionstream,Visionstream - N2P (NSW),CW-01-01-20-03,Supply and install 1 x P50 (63 OD) pipe using grundomat in OTR (Other Than Rock),Per linear metre, $	35.00 ,Supply and install 1 x P50 (63 OD) pipe using grundomat in OTR (Other Than Rock),45403
Visionstream,Visionstream - N2P (NSW),CW-01-01-20-04,Supply and install  P50 Conduit Entries to ACM Pit,Each ACM Pit, $	78.00 ,Supply and install  P50 Conduit Entries to ACM Pit,45403
Visionstream,Visionstream - N2P (NSW),CW-01-01-20-05,Hydrovac excavation for P50 & reinstate,Hour, $	170.00 ,Hydrovac excavation for P50 & reinstate,45403
Visionstream,Visionstream - N2P (NSW),CW-01-01-20-07,Conduit Install Breakout - Concrete,Per square metre, $	99.14 ,Conduit Install Breakout - Asphalt/Bitumen,45403
Visionstream,Visionstream - N2P (NSW),CW-01-01-20-08,Conduit Install Breakout - Asphalt/Bitumen,Per square metre, $	95.38 ,Conduit Install Breakout - Asphalt/Bitumen,45403
