Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate
Visionstream,Visionstream - MWA,CB-01-01-11,"Installation only of an external 144 fibre distribution cabinet (FDH) including
the supply and installation of a concrete plinth",Per FDH Cabinet," $	1,390.00 "
Visionstream,Visionstream - MWA,CB-01-01-12,"Installation only of an external 288 fibre distribution cabinet (FDH) including
the supply and installation of a concrete plinth",Per FDH Cabinet," $	1,306.00 "
Visionstream,Visionstream - MWA,CB-01-01-13,"Installation only of an external 432 fibre distribution cabinet (FDH) including
the supply and installation of a concrete plinth",Per FDH Cabinet," $	1,666.00 "
Visionstream,Visionstream - MWA,CB-01-01-14,"Installation only of an external 144 fibre distribution cabinet (FDH) including
the supply and installation of a concrete plinth and installation only of a pit",Per FDH Cabinet," $	1,734.00 "
Visionstream,Visionstream - MWA,CB-01-01-15,"Installation only of an external 288 fibre distribution cabinet (FDH) including
the supply and installation of a concrete plinth and installation only of a pit",Per FDH Cabinet," $	1,734.00 "
Visionstream,Visionstream - MWA,CB-01-01-16,Installation only of an external 432 fibre distribution cabinet (FDH) including the supply and installation of a concrete plinth and installation only of a pit,Per FDH Cabinet," $	1,734.00 "
Visionstream,Visionstream - MWA,CB-01-01-17,"Installation only of an external 576 fibre distribution cabinet (FDH) including
the supply and installation of a concrete plinth and installation only of a pit",Per FDH Cabinet," $	1,734.00 "
Visionstream,Visionstream - MWA,CB-01-01-18,"Installation only of an external 864 fibre distribution cabinet (FDH) including
the supply and installation of a concrete plinth and installation only of a pit",Per FDH Cabinet," $	2,076.00 "
Visionstream,Visionstream - MWA,CB-01-01-19,"Installation only of an external 864 fibre distribution cabinet (FDH) including
the supply and installation of a concrete plinth",Per FDH Cabinet," $	1,583.00 "
Visionstream,Visionstream - MWA,CB-02-01-11,Installation only of an external small port Node Cabinet,Per external Node Cabinet," $	4,500.00 "
Visionstream,Visionstream - MWA,CB-02-01-21,Installation only of an external medium port Node Cabinet,"Per external Node
Cabinet"," $	6,000.00 "
Visionstream,Visionstream - MWA,CB-02-01-31,Installation only of an external large port Node cabinet,"Per external Node
Cabinet"," $	6,250.00 "
Visionstream,Visionstream - MWA,CB-02-02-11,Installation of service jumpering in a FTTN/FTTB Node Cabinet,"Per 48 Port Line
Card", $	175.00 
Visionstream,Visionstream - MWA,CB-02-02-21,Cable layup within CJL for external small port CSD node,Per CJL, $	110.00 
