Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate,Item Description,Xero Account,
99Group,99Group - MWA,CW‐01‐01‐01a,Supply and install 1 x P50 PVC pipe in open trench in OTR (Other Than Rock),Per linear metre, $	41.00 ,"Supply and installation of underground pipe
PVC Pipe Supply and Installation including open trench or boring techniques shall include all costs associated with the supply and installation of NBN Co approved PVC pipe and all associated components, including entry into pits/bore linkups, in all areas in accordance with the requirements of the relevant specifications.
The prices shall include excavation by all methods, bedding, supply, lay and joint pipe and fittings, backfill, compaction, roping and proving of pipe, localised temporary pavement reinstatement or topsoil and seeding as appropriate to match existing, day to day traffic control, disposal of spoil, waste (including slurry from boring operations), any other surplus materials and mobilisation and demobilisation of all necessary plant and equipment.
Pipe length for payment purposes will be measured the pit wall to pit wall between pits/manholes, from pit wall to base of a pole; and from pit wall to the point of contact on a building. All trenching codes are deemed to include the supply and installation of detectable marker tape. These prices shall also apply to paved areas where existing pavement breakout and reinstatement are paid using Schedule of Rates items CW‐06.
Dewatering, pumping and disposal of slurry or wet waste to be treated in accordance with all relevant local, state, territory and federal environmental laws. Any drilling at depths greater than 1.2m requires prior approval of the Datateks Disposal and Testing of Bore Mud:
Included in the schedule rate payment is for the subcontractor to dispose of waste drilling mud at a licensed EPA facility and provide receipts for this disposal to Datateks, any additional testing costs that the facility may add are the responsibility of the subcontractor. Should there be no licensed EPA facility available and the waste is taken to a non‐licenced facility the waste will need to be managed as per Drilling Mud Management Plan, any costs associated with the testing of the waste will be at the subcontractor’s expense.
All out of hours work is to be done under Datateks direction and approval only
Extra over Trenching is only claimable for
(a) where multiple conduits are being installed in the one trench;
(b) each additional pipe in an existing trench on the length of the additional pipe; and
(c) as an extra over to CW‐01‐01‐01a/b or CW01‐01‐02a/b where trenching construction methodologies are used Extra over Boring is only claimable for:
(a) where multiple conduits are being installed in the same bore shot.
(b) each additional pipe in the same bore shot by the length of the additional pipe
(c) as an extra over to CW‐01‐01‐01c/d or CW‐01‐01‐02c/d where boring construction methodologies are used Extra Over ‐ Provide Conduit Entries to ACM Pit ‐ to be claimed under CW‐02‐03",,
99Group,99Group - MWA,CW‐01‐01‐01b,Supply and install 1 x P50 PVC pipe in open trench in OTR (Other Than Rock) ‐ out of hours),Per linear metre, $	49.00 ,"Supply and installation of underground pipe
PVC Pipe Supply and Installation including open trench or boring techniques shall include all costs associated with the supply and installation of NBN Co approved PVC pipe and all associated components, including entry into pits/bore linkups, in all areas in accordance with the requirements of the relevant specifications.
The prices shall include excavation by all methods, bedding, supply, lay and joint pipe and fittings, backfill, compaction, roping and proving of pipe, localised temporary pavement reinstatement or topsoil and seeding as appropriate to match existing, day to day traffic control, disposal of spoil, waste (including slurry from boring operations), any other surplus materials and mobilisation and demobilisation of all necessary plant and equipment.
Pipe length for payment purposes will be measured the pit wall to pit wall between pits/manholes, from pit wall to base of a pole; and from pit wall to the point of contact on a building. All trenching codes are deemed to include the supply and installation of detectable marker tape. These prices shall also apply to paved areas where existing pavement breakout and reinstatement are paid using Schedule of Rates items CW‐06.
Dewatering, pumping and disposal of slurry or wet waste to be treated in accordance with all relevant local, state, territory and federal environmental laws. Any drilling at depths greater than 1.2m requires prior approval of the Datateks Disposal and Testing of Bore Mud:
Included in the schedule rate payment is for the subcontractor to dispose of waste drilling mud at a licensed EPA facility and provide receipts for this disposal to Datateks, any additional testing costs that the facility may add are the responsibility of the subcontractor. Should there be no licensed EPA facility available and the waste is taken to a non‐licenced facility the waste will need to be managed as per Drilling Mud Management Plan, any costs associated with the testing of the waste will be at the subcontractor’s expense.
All out of hours work is to be done under Datateks direction and approval only
Extra over Trenching is only claimable for
(a) where multiple conduits are being installed in the one trench;
(b) each additional pipe in an existing trench on the length of the additional pipe; and
(c) as an extra over to CW‐01‐01‐01a/b or CW01‐01‐02a/b where trenching construction methodologies are used Extra over Boring is only claimable for:
(a) where multiple conduits are being installed in the same bore shot.
(b) each additional pipe in the same bore shot by the length of the additional pipe
(c) as an extra over to CW‐01‐01‐01c/d or CW‐01‐01‐02c/d where boring construction methodologies are used Extra Over ‐ Provide Conduit Entries to ACM Pit ‐ to be claimed under CW‐02‐03",,
99Group,99Group - MWA,CW‐01‐01‐01c,Supply and install 1 x P50 (63 OD) pipe using boring techniques in OTR (Other Than Rock) less than 250m,Per linear metre, $	49.00 ,"Supply and installation of underground pipe
PVC Pipe Supply and Installation including open trench or boring techniques shall include all costs associated with the supply and installation of NBN Co approved PVC pipe and all associated components, including entry into pits/bore linkups, in all areas in accordance with the requirements of the relevant specifications.
The prices shall include excavation by all methods, bedding, supply, lay and joint pipe and fittings, backfill, compaction, roping and proving of pipe, localised temporary pavement reinstatement or topsoil and seeding as appropriate to match existing, day to day traffic control, disposal of spoil, waste (including slurry from boring operations), any other surplus materials and mobilisation and demobilisation of all necessary plant and equipment.
Pipe length for payment purposes will be measured the pit wall to pit wall between pits/manholes, from pit wall to base of a pole; and from pit wall to the point of contact on a building. All trenching codes are deemed to include the supply and installation of detectable marker tape. These prices shall also apply to paved areas where existing pavement breakout and reinstatement are paid using Schedule of Rates items CW‐06.
Dewatering, pumping and disposal of slurry or wet waste to be treated in accordance with all relevant local, state, territory and federal environmental laws. Any drilling at depths greater than 1.2m requires prior approval of the Datateks Disposal and Testing of Bore Mud:
Included in the schedule rate payment is for the subcontractor to dispose of waste drilling mud at a licensed EPA facility and provide receipts for this disposal to Datateks, any additional testing costs that the facility may add are the responsibility of the subcontractor. Should there be no licensed EPA facility available and the waste is taken to a non‐licenced facility the waste will need to be managed as per Drilling Mud Management Plan, any costs associated with the testing of the waste will be at the subcontractor’s expense.
All out of hours work is to be done under Datateks direction and approval only
Extra over Trenching is only claimable for
(a) where multiple conduits are being installed in the one trench;
(b) each additional pipe in an existing trench on the length of the additional pipe; and
(c) as an extra over to CW‐01‐01‐01a/b or CW01‐01‐02a/b where trenching construction methodologies are used Extra over Boring is only claimable for:
(a) where multiple conduits are being installed in the same bore shot.
(b) each additional pipe in the same bore shot by the length of the additional pipe
(c) as an extra over to CW‐01‐01‐01c/d or CW‐01‐01‐02c/d where boring construction methodologies are used Extra Over ‐ Provide Conduit Entries to ACM Pit ‐ to be claimed under CW‐02‐03",,
99Group,99Group - MWA,CW‐01‐01‐01d,Supply and install 1 x P50 (63 OD) pipe using boring techniques in OTR (Other Than Rock) less than 250m ‐ out of hours,Per linear metre, $	56.35 ,"Supply and installation of underground pipe
PVC Pipe Supply and Installation including open trench or boring techniques shall include all costs associated with the supply and installation of NBN Co approved PVC pipe and all associated components, including entry into pits/bore linkups, in all areas in accordance with the requirements of the relevant specifications.
The prices shall include excavation by all methods, bedding, supply, lay and joint pipe and fittings, backfill, compaction, roping and proving of pipe, localised temporary pavement reinstatement or topsoil and seeding as appropriate to match existing, day to day traffic control, disposal of spoil, waste (including slurry from boring operations), any other surplus materials and mobilisation and demobilisation of all necessary plant and equipment.
Pipe length for payment purposes will be measured the pit wall to pit wall between pits/manholes, from pit wall to base of a pole; and from pit wall to the point of contact on a building. All trenching codes are deemed to include the supply and installation of detectable marker tape. These prices shall also apply to paved areas where existing pavement breakout and reinstatement are paid using Schedule of Rates items CW‐06.
Dewatering, pumping and disposal of slurry or wet waste to be treated in accordance with all relevant local, state, territory and federal environmental laws. Any drilling at depths greater than 1.2m requires prior approval of the Datateks Disposal and Testing of Bore Mud:
Included in the schedule rate payment is for the subcontractor to dispose of waste drilling mud at a licensed EPA facility and provide receipts for this disposal to Datateks, any additional testing costs that the facility may add are the responsibility of the subcontractor. Should there be no licensed EPA facility available and the waste is taken to a non‐licenced facility the waste will need to be managed as per Drilling Mud Management Plan, any costs associated with the testing of the waste will be at the subcontractor’s expense.
All out of hours work is to be done under Datateks direction and approval only
Extra over Trenching is only claimable for
(a) where multiple conduits are being installed in the one trench;
(b) each additional pipe in an existing trench on the length of the additional pipe; and
(c) as an extra over to CW‐01‐01‐01a/b or CW01‐01‐02a/b where trenching construction methodologies are used Extra over Boring is only claimable for:
(a) where multiple conduits are being installed in the same bore shot.
(b) each additional pipe in the same bore shot by the length of the additional pipe
(c) as an extra over to CW‐01‐01‐01c/d or CW‐01‐01‐02c/d where boring construction methodologies are used Extra Over ‐ Provide Conduit Entries to ACM Pit ‐ to be claimed under CW‐02‐03",,
99Group,99Group - MWA,CW‐01‐01‐02a,Supply and install 1 x P100 PVC pipe in open trench in OTR (Other Than Rock),Per linear metre, $	54.00 ,"Supply and installation of underground pipe
PVC Pipe Supply and Installation including open trench or boring techniques shall include all costs associated with the supply and installation of NBN Co approved PVC pipe and all associated components, including entry into pits/bore linkups, in all areas in accordance with the requirements of the relevant specifications.
The prices shall include excavation by all methods, bedding, supply, lay and joint pipe and fittings, backfill, compaction, roping and proving of pipe, localised temporary pavement reinstatement or topsoil and seeding as appropriate to match existing, day to day traffic control, disposal of spoil, waste (including slurry from boring operations), any other surplus materials and mobilisation and demobilisation of all necessary plant and equipment.
Pipe length for payment purposes will be measured the pit wall to pit wall between pits/manholes, from pit wall to base of a pole; and from pit wall to the point of contact on a building. All trenching codes are deemed to include the supply and installation of detectable marker tape. These prices shall also apply to paved areas where existing pavement breakout and reinstatement are paid using Schedule of Rates items CW‐06.
Dewatering, pumping and disposal of slurry or wet waste to be treated in accordance with all relevant local, state, territory and federal environmental laws. Any drilling at depths greater than 1.2m requires prior approval of the Datateks Disposal and Testing of Bore Mud:
Included in the schedule rate payment is for the subcontractor to dispose of waste drilling mud at a licensed EPA facility and provide receipts for this disposal to Datateks, any additional testing costs that the facility may add are the responsibility of the subcontractor. Should there be no licensed EPA facility available and the waste is taken to a non‐licenced facility the waste will need to be managed as per Drilling Mud Management Plan, any costs associated with the testing of the waste will be at the subcontractor’s expense.
All out of hours work is to be done under Datateks direction and approval only
Extra over Trenching is only claimable for
(a) where multiple conduits are being installed in the one trench;
(b) each additional pipe in an existing trench on the length of the additional pipe; and
(c) as an extra over to CW‐01‐01‐01a/b or CW01‐01‐02a/b where trenching construction methodologies are used Extra over Boring is only claimable for:
(a) where multiple conduits are being installed in the same bore shot.
(b) each additional pipe in the same bore shot by the length of the additional pipe
(c) as an extra over to CW‐01‐01‐01c/d or CW‐01‐01‐02c/d where boring construction methodologies are used Extra Over ‐ Provide Conduit Entries to ACM Pit ‐ to be claimed under CW‐02‐03",,
99Group,99Group - MWA,CW‐01‐01‐02b,Supply and install 1 x P100 PVC pipe in open trench in OTR (Other Than Rock) ‐ out of hours,Per linear metre, $	62.10 ,"Supply and installation of underground pipe
PVC Pipe Supply and Installation including open trench or boring techniques shall include all costs associated with the supply and installation of NBN Co approved PVC pipe and all associated components, including entry into pits/bore linkups, in all areas in accordance with the requirements of the relevant specifications.
The prices shall include excavation by all methods, bedding, supply, lay and joint pipe and fittings, backfill, compaction, roping and proving of pipe, localised temporary pavement reinstatement or topsoil and seeding as appropriate to match existing, day to day traffic control, disposal of spoil, waste (including slurry from boring operations), any other surplus materials and mobilisation and demobilisation of all necessary plant and equipment.
Pipe length for payment purposes will be measured the pit wall to pit wall between pits/manholes, from pit wall to base of a pole; and from pit wall to the point of contact on a building. All trenching codes are deemed to include the supply and installation of detectable marker tape. These prices shall also apply to paved areas where existing pavement breakout and reinstatement are paid using Schedule of Rates items CW‐06.
Dewatering, pumping and disposal of slurry or wet waste to be treated in accordance with all relevant local, state, territory and federal environmental laws. Any drilling at depths greater than 1.2m requires prior approval of the Datateks Disposal and Testing of Bore Mud:
Included in the schedule rate payment is for the subcontractor to dispose of waste drilling mud at a licensed EPA facility and provide receipts for this disposal to Datateks, any additional testing costs that the facility may add are the responsibility of the subcontractor. Should there be no licensed EPA facility available and the waste is taken to a non‐licenced facility the waste will need to be managed as per Drilling Mud Management Plan, any costs associated with the testing of the waste will be at the subcontractor’s expense.
All out of hours work is to be done under Datateks direction and approval only
Extra over Trenching is only claimable for
(a) where multiple conduits are being installed in the one trench;
(b) each additional pipe in an existing trench on the length of the additional pipe; and
(c) as an extra over to CW‐01‐01‐01a/b or CW01‐01‐02a/b where trenching construction methodologies are used Extra over Boring is only claimable for:
(a) where multiple conduits are being installed in the same bore shot.
(b) each additional pipe in the same bore shot by the length of the additional pipe
(c) as an extra over to CW‐01‐01‐01c/d or CW‐01‐01‐02c/d where boring construction methodologies are used Extra Over ‐ Provide Conduit Entries to ACM Pit ‐ to be claimed under CW‐02‐03",,
99Group,99Group - MWA,CW‐01‐01‐02c,Supply and install 1 x P100 (110 OD) pipe using boring techniques in OTR (Other Than Rock),Per linear metre, $	79.00 ,"Supply and installation of underground pipe
PVC Pipe Supply and Installation including open trench or boring techniques shall include all costs associated with the supply and installation of NBN Co approved PVC pipe and all associated components, including entry into pits/bore linkups, in all areas in accordance with the requirements of the relevant specifications.
The prices shall include excavation by all methods, bedding, supply, lay and joint pipe and fittings, backfill, compaction, roping and proving of pipe, localised temporary pavement reinstatement or topsoil and seeding as appropriate to match existing, day to day traffic control, disposal of spoil, waste (including slurry from boring operations), any other surplus materials and mobilisation and demobilisation of all necessary plant and equipment.
Pipe length for payment purposes will be measured the pit wall to pit wall between pits/manholes, from pit wall to base of a pole; and from pit wall to the point of contact on a building. All trenching codes are deemed to include the supply and installation of detectable marker tape. These prices shall also apply to paved areas where existing pavement breakout and reinstatement are paid using Schedule of Rates items CW‐06.
Dewatering, pumping and disposal of slurry or wet waste to be treated in accordance with all relevant local, state, territory and federal environmental laws. Any drilling at depths greater than 1.2m requires prior approval of the Datateks Disposal and Testing of Bore Mud:
Included in the schedule rate payment is for the subcontractor to dispose of waste drilling mud at a licensed EPA facility and provide receipts for this disposal to Datateks, any additional testing costs that the facility may add are the responsibility of the subcontractor. Should there be no licensed EPA facility available and the waste is taken to a non‐licenced facility the waste will need to be managed as per Drilling Mud Management Plan, any costs associated with the testing of the waste will be at the subcontractor’s expense.
All out of hours work is to be done under Datateks direction and approval only
Extra over Trenching is only claimable for
(a) where multiple conduits are being installed in the one trench;
(b) each additional pipe in an existing trench on the length of the additional pipe; and
(c) as an extra over to CW‐01‐01‐01a/b or CW01‐01‐02a/b where trenching construction methodologies are used Extra over Boring is only claimable for:
(a) where multiple conduits are being installed in the same bore shot.
(b) each additional pipe in the same bore shot by the length of the additional pipe
(c) as an extra over to CW‐01‐01‐01c/d or CW‐01‐01‐02c/d where boring construction methodologies are used Extra Over ‐ Provide Conduit Entries to ACM Pit ‐ to be claimed under CW‐02‐03",,
99Group,99Group - MWA,CW‐01‐01‐02d,Supply and install 1 x P100 (110 OD) pipe using boring techniques in OTR (Other Than Rock) ‐ out hours,Per linear metre, $	90.85 ,"Supply and installation of underground pipe
PVC Pipe Supply and Installation including open trench or boring techniques shall include all costs associated with the supply and installation of NBN Co approved PVC pipe and all associated components, including entry into pits/bore linkups, in all areas in accordance with the requirements of the relevant specifications.
The prices shall include excavation by all methods, bedding, supply, lay and joint pipe and fittings, backfill, compaction, roping and proving of pipe, localised temporary pavement reinstatement or topsoil and seeding as appropriate to match existing, day to day traffic control, disposal of spoil, waste (including slurry from boring operations), any other surplus materials and mobilisation and demobilisation of all necessary plant and equipment.
Pipe length for payment purposes will be measured the pit wall to pit wall between pits/manholes, from pit wall to base of a pole; and from pit wall to the point of contact on a building. All trenching codes are deemed to include the supply and installation of detectable marker tape. These prices shall also apply to paved areas where existing pavement breakout and reinstatement are paid using Schedule of Rates items CW‐06.
Dewatering, pumping and disposal of slurry or wet waste to be treated in accordance with all relevant local, state, territory and federal environmental laws. Any drilling at depths greater than 1.2m requires prior approval of the Datateks Disposal and Testing of Bore Mud:
Included in the schedule rate payment is for the subcontractor to dispose of waste drilling mud at a licensed EPA facility and provide receipts for this disposal to Datateks, any additional testing costs that the facility may add are the responsibility of the subcontractor. Should there be no licensed EPA facility available and the waste is taken to a non‐licenced facility the waste will need to be managed as per Drilling Mud Management Plan, any costs associated with the testing of the waste will be at the subcontractor’s expense.
All out of hours work is to be done under Datateks direction and approval only
Extra over Trenching is only claimable for
(a) where multiple conduits are being installed in the one trench;
(b) each additional pipe in an existing trench on the length of the additional pipe; and
(c) as an extra over to CW‐01‐01‐01a/b or CW01‐01‐02a/b where trenching construction methodologies are used Extra over Boring is only claimable for:
(a) where multiple conduits are being installed in the same bore shot.
(b) each additional pipe in the same bore shot by the length of the additional pipe
(c) as an extra over to CW‐01‐01‐01c/d or CW‐01‐01‐02c/d where boring construction methodologies are used Extra Over ‐ Provide Conduit Entries to ACM Pit ‐ to be claimed under CW‐02‐03",,
99Group,99Group - MWA,CW‐01‐01‐03,Extra over for supply and install an additional underground pipe in an existing trench with an internal diameter of greater than 25mm,Per linear metre, $	15.00 ,"Supply and installation of underground pipe
PVC Pipe Supply and Installation including open trench or boring techniques shall include all costs associated with the supply and installation of NBN Co approved PVC pipe and all associated components, including entry into pits/bore linkups, in all areas in accordance with the requirements of the relevant specifications.
The prices shall include excavation by all methods, bedding, supply, lay and joint pipe and fittings, backfill, compaction, roping and proving of pipe, localised temporary pavement reinstatement or topsoil and seeding as appropriate to match existing, day to day traffic control, disposal of spoil, waste (including slurry from boring operations), any other surplus materials and mobilisation and demobilisation of all necessary plant and equipment.
Pipe length for payment purposes will be measured the pit wall to pit wall between pits/manholes, from pit wall to base of a pole; and from pit wall to the point of contact on a building. All trenching codes are deemed to include the supply and installation of detectable marker tape. These prices shall also apply to paved areas where existing pavement breakout and reinstatement are paid using Schedule of Rates items CW‐06.
Dewatering, pumping and disposal of slurry or wet waste to be treated in accordance with all relevant local, state, territory and federal environmental laws. Any drilling at depths greater than 1.2m requires prior approval of the Datateks Disposal and Testing of Bore Mud:
Included in the schedule rate payment is for the subcontractor to dispose of waste drilling mud at a licensed EPA facility and provide receipts for this disposal to Datateks, any additional testing costs that the facility may add are the responsibility of the subcontractor. Should there be no licensed EPA facility available and the waste is taken to a non‐licenced facility the waste will need to be managed as per Drilling Mud Management Plan, any costs associated with the testing of the waste will be at the subcontractor’s expense.
All out of hours work is to be done under Datateks direction and approval only
Extra over Trenching is only claimable for
(a) where multiple conduits are being installed in the one trench;
(b) each additional pipe in an existing trench on the length of the additional pipe; and
(c) as an extra over to CW‐01‐01‐01a/b or CW01‐01‐02a/b where trenching construction methodologies are used Extra over Boring is only claimable for:
(a) where multiple conduits are being installed in the same bore shot.
(b) each additional pipe in the same bore shot by the length of the additional pipe
(c) as an extra over to CW‐01‐01‐01c/d or CW‐01‐01‐02c/d where boring construction methodologies are used Extra Over ‐ Provide Conduit Entries to ACM Pit ‐ to be claimed under CW‐02‐03",,
99Group,99Group - MWA,CW‐01‐01‐04,Extra over for supply and install an additional underground pipe by boring technique with an internal diameter of greater than 25mm,Per linear metre, $	45.00 ,"Supply and installation of underground pipe
PVC Pipe Supply and Installation including open trench or boring techniques shall include all costs associated with the supply and installation of NBN Co approved PVC pipe and all associated components, including entry into pits/bore linkups, in all areas in accordance with the requirements of the relevant specifications.
The prices shall include excavation by all methods, bedding, supply, lay and joint pipe and fittings, backfill, compaction, roping and proving of pipe, localised temporary pavement reinstatement or topsoil and seeding as appropriate to match existing, day to day traffic control, disposal of spoil, waste (including slurry from boring operations), any other surplus materials and mobilisation and demobilisation of all necessary plant and equipment.
Pipe length for payment purposes will be measured the pit wall to pit wall between pits/manholes, from pit wall to base of a pole; and from pit wall to the point of contact on a building. All trenching codes are deemed to include the supply and installation of detectable marker tape. These prices shall also apply to paved areas where existing pavement breakout and reinstatement are paid using Schedule of Rates items CW‐06.
Dewatering, pumping and disposal of slurry or wet waste to be treated in accordance with all relevant local, state, territory and federal environmental laws. Any drilling at depths greater than 1.2m requires prior approval of the Datateks Disposal and Testing of Bore Mud:
Included in the schedule rate payment is for the subcontractor to dispose of waste drilling mud at a licensed EPA facility and provide receipts for this disposal to Datateks, any additional testing costs that the facility may add are the responsibility of the subcontractor. Should there be no licensed EPA facility available and the waste is taken to a non‐licenced facility the waste will need to be managed as per Drilling Mud Management Plan, any costs associated with the testing of the waste will be at the subcontractor’s expense.
All out of hours work is to be done under Datateks direction and approval only
Extra over Trenching is only claimable for
(a) where multiple conduits are being installed in the one trench;
(b) each additional pipe in an existing trench on the length of the additional pipe; and
(c) as an extra over to CW‐01‐01‐01a/b or CW01‐01‐02a/b where trenching construction methodologies are used Extra over Boring is only claimable for:
(a) where multiple conduits are being installed in the same bore shot.
(b) each additional pipe in the same bore shot by the length of the additional pipe
(c) as an extra over to CW‐01‐01‐01c/d or CW‐01‐01‐02c/d where boring construction methodologies are used Extra Over ‐ Provide Conduit Entries to ACM Pit ‐ to be claimed under CW‐02‐03",,
