Item ID,Item Description,Unit of Measure (UoM),"Total per Unit 
($/UOM)",
02-02,PVC Pipe Supply and Underground Installation,,,
02-02-01-01,Supply and install 1 x P50 PVC pipe in open trench in OTR (Other Than Rock),Per metre, $	46.76 ,
02-02-01-02,Supply and install 1 x P100 PVC pipe in open trench in OTR (Other Than Rock),Per metre, $	51.05 ,
02-02-01-08,Supply and install 1 x P50 PVC pipe in open trench in Rock,Per metre, $	133.37 ,
02-02-01-09,Supply and install 1 x P100 PVC pipe in open trench in Rock,Per metre, $	156.94 ,
02-02-01-15,"Extra over for all pipe size road crossings kerb to kerb (OTR), this extra over applies to 02-02-01-01 to 02-02-01-07.",Per metre, $	92.87 ,
02-02-01-16,"Extra over for all pipe size road crossings kerb to kerb (Rock), this extra over applies to 02-02-01-08 to 02-02-01-14.",Per metre, $	126.77 ,
02-02-02-01,Supply and install 1 x P50 (63 OD) pipe using boring techniques in OTR (Other Than Rock) less than 250m,Per metre, $	64.62 ,
02-02-02-02,Supply and install 1 x P100 (110 OD) pipe using boring techniques in OTR (Other Than Rock) less than 250m,Per metre, $	102.04 ,
02-02-02-05,Supply and install 1 x P50 (63 OD) pipe using boring techniques in Rock less than 250m,Per metre, $	305.06 ,
02-02-02-06,Supply and install 1 x P100 (110 OD) pipe using boring techniques in Rock less than 250m,Per metre, $	402.74 ,
02-02-03-01,Supply and install 1 x P50 PVC pipe in open trench provided and reinstated by others,Per metre, $	12.63 ,
02-02-03-02,Supply and install 1 x P100 PVC pipe in open trench provided and reinstated by others,Per metre, $	15.96 ,
02-02-04-01,Supply and install pipe seal 50mm (Tyco product Jackmoon),Each seal, $	71.24 ,
02-02-04-02,Supply and install pipe seal 100mm (Tyco product Jackmoon),Each seal, $	77.74 ,
02-02-04-05,Supply and install pipe seal of TDUX 50mm,Each Seal, $	76.37 ,
02-02-04-06,Supply and install pipe seal of TDUX 100mm,Each Seal, $	81.53 ,
02-02-04-07,Removal of TDUX (50mm or 100mm),Each seal, $	48.47 ,
02-03-01-01,Installation only of small pits at new locations in OTR (Other Than Rock),Each pit, $	324.70 ,
02-03-01-02,Installation only of medium pits at new locations in OTR (Other Than Rock),Each pit, $	450.79 ,
02-03-01-03,Installation only of large pits at new locations in OTR (Other Than Rock),Each pit, $	835.58 ,
02-03-02-01,Extra over for excavation in Rock for pit and manhole installations,Per cubic metre, $	200.45 ,
02-03-03-01,Installation only of small pits with excavation and reinstatement provided by others (i.e. new development),Per Pit, $	166.07 ,
02-03-03-02,Installation only of medium pits with excavation and reinstatement provided by others (i.e. new development),Per Pit, $	214.54 ,
02-03-03-03,Installation only of large pits with excavation and reinstatement provided by others (i.e. new development),Per Pit, $	467.08 ,
02-03-04-01,Installation only of small pits over existing infrastructure in OTR (Other Than Rock),Each Pit, $	445.18 ,
02-03-04-02,Installation only of medium pits over existing infrastructure in OTR (Other Than Rock),Each Pit, $	759.10 ,
02-03-04-03,Installation only of large pits over existing infrastructure in OTR (Other Than Rock),Each Pit," $	1,541.06 ",
02-04-01-01,Core bore concrete – 50mm diameter hole,Per 100mm depth, $	219.73 ,
